frame_id,captured_at,window_start_at,window_end_at,event_count,intent,relationship_label,cursor_x,cursor_y,app,window,screenshot_path,screenshot_exists
1,2026-03-26T19:21:37.861538Z,2026-03-26T19:21:37.861277Z,2026-03-26T19:21:37.861538Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192137/screenshots/frame-000001-20260326-192137-861538.png,True
2,2026-03-26T19:21:38.861578Z,2026-03-26T19:21:37.861538Z,2026-03-26T19:21:38.861578Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192137/screenshots/frame-000002-20260326-192138-861578.png,True
3,2026-03-26T19:21:39.862228Z,2026-03-26T19:21:38.861578Z,2026-03-26T19:21:39.862228Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192137/screenshots/frame-000003-20260326-192139-862228.png,True
4,2026-03-26T19:21:40.862379Z,2026-03-26T19:21:39.862228Z,2026-03-26T19:21:40.862379Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192137/screenshots/frame-000004-20260326-192140-862379.png,True
5,2026-03-26T19:21:41.861603Z,2026-03-26T19:21:40.862379Z,2026-03-26T19:21:41.861603Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192137/screenshots/frame-000005-20260326-192141-861603.png,True
6,2026-03-26T19:21:42.861565Z,2026-03-26T19:21:41.861603Z,2026-03-26T19:21:42.861565Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192137/screenshots/frame-000006-20260326-192142-861565.png,True
