segment_id,family,start_at,end_at,start_ts_epoch,end_ts_epoch,duration_ms,event_count,move_distance_px,click_down_count,click_up_count,scroll_event_count,avg_x,avg_y
1,move,2026-03-26T18:54:09.239188Z,2026-03-26T18:54:09.697886Z,1774551249.239188,1774551249.697886,458.7,57,101.89,0,0,0,446.98,288.56
2,move,2026-03-26T18:54:10.716759Z,2026-03-26T18:54:11.061510Z,1774551250.716759,1774551251.0615098,344.75,37,55.4,0,0,0,407.22,338.65
3,move,2026-03-26T18:54:11.524082Z,2026-03-26T18:54:13.380457Z,1774551251.524082,1774551253.380457,1856.37,134,225.84,0,0,0,378.2,343.3
4,move,2026-03-26T18:54:14.459295Z,2026-03-26T18:54:14.789337Z,1774551254.459295,1774551254.7893372,330.04,35,29.64,0,0,0,494.07,345.52
5,move,2026-03-26T18:54:15.294984Z,2026-03-26T18:54:16.057572Z,1774551255.2949839,1774551256.0575721,762.59,69,30.39,0,0,0,461.33,343.76
6,click,2026-03-26T18:54:16.424160Z,2026-03-26T18:54:16.623673Z,1774551256.42416,1774551256.6236732,199.51,2,0.0,1,1,0,449.96,345.53
