frame_id,captured_at,window_start_at,window_end_at,event_count,intent,relationship_label,cursor_x,cursor_y,app,window,screenshot_path,screenshot_exists
1,2026-03-26T18:54:06.442027Z,2026-03-26T18:54:06.441565Z,2026-03-26T18:54:06.442027Z,0,idle,cursor_idle_or_hover,423.32,241.29,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-185406/screenshots/frame-000001-20260326-185406-442027.png,False
2,2026-03-26T18:54:07.442787Z,2026-03-26T18:54:06.442027Z,2026-03-26T18:54:07.442787Z,0,idle,cursor_idle_or_hover,423.32,241.29,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-185406/screenshots/frame-000002-20260326-185407-442787.png,False
3,2026-03-26T18:54:08.441904Z,2026-03-26T18:54:07.442787Z,2026-03-26T18:54:08.441904Z,0,idle,cursor_idle_or_hover,423.32,241.29,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-185406/screenshots/frame-000003-20260326-185408-441904.png,True
4,2026-03-26T18:54:09.442217Z,2026-03-26T18:54:08.441904Z,2026-03-26T18:54:09.442217Z,54,hover_or_positioning,cursor_idle_or_hover,447.74,322.89,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-185406/screenshots/frame-000004-20260326-185409-442217.png,True
5,2026-03-26T18:54:10.442118Z,2026-03-26T18:54:09.442217Z,2026-03-26T18:54:10.442118Z,3,hover_or_positioning,cursor_idle_or_hover,444.05,328.06,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-185406/screenshots/frame-000005-20260326-185410-442118.png,True
6,2026-03-26T18:54:11.442832Z,2026-03-26T18:54:10.442118Z,2026-03-26T18:54:11.442832Z,61,hover_or_positioning,cursor_idle_or_hover,376.98,346.69,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-185406/screenshots/frame-000006-20260326-185411-442832.png,True
7,2026-03-26T18:54:12.442006Z,2026-03-26T18:54:11.442832Z,2026-03-26T18:54:12.442006Z,59,hover_or_positioning,cursor_idle_or_hover,349.68,341.26,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-185406/screenshots/frame-000007-20260326-185412-442006.png,True
8,2026-03-26T18:54:13.442486Z,2026-03-26T18:54:12.442006Z,2026-03-26T18:54:13.442486Z,51,cursor_navigation,cursor_navigation,506.82,346.43,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-185406/screenshots/frame-000008-20260326-185413-442486.png,True
9,2026-03-26T18:54:14.442742Z,2026-03-26T18:54:13.442486Z,2026-03-26T18:54:14.442742Z,21,hover_or_positioning,cursor_idle_or_hover,491.92,345.51,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-185406/screenshots/frame-000009-20260326-185414-442742.png,True
10,2026-03-26T18:54:15.443120Z,2026-03-26T18:54:14.442742Z,2026-03-26T18:54:15.443120Z,61,hover_or_positioning,cursor_idle_or_hover,457.38,343.16,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-185406/screenshots/frame-000010-20260326-185415-443120.png,True
11,2026-03-26T18:54:16.441958Z,2026-03-26T18:54:15.443120Z,2026-03-26T18:54:16.441958Z,24,click_interaction,cursor_triggered_action,449.96,345.53,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-185406/screenshots/frame-000011-20260326-185416-441958.png,True
12,2026-03-26T18:54:17.442984Z,2026-03-26T18:54:16.441958Z,2026-03-26T18:54:17.442984Z,0,idle,cursor_idle_or_hover,449.96,345.53,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-185406/screenshots/frame-000012-20260326-185417-442984.png,True
