event_id,timestamp,ts_epoch,delta_ms_prev,event_type,x,y,dx,dy,distance_px,scroll_dx,scroll_dy,button
1,2026-03-26T18:41:09.152956Z,1774550469.152956,,move,429.15,325.1,-0.46,0.46,0.65,,,
2,2026-03-26T18:41:09.160328Z,1774550469.160328,7.37,move,428.52,326.04,-0.63,0.94,1.13,,,
3,2026-03-26T18:41:09.167870Z,1774550469.16787,7.54,move,427.58,326.67,-0.94,0.63,1.13,,,
4,2026-03-26T18:41:09.176342Z,1774550469.176342,8.47,move,426.0,328.65,-1.58,1.98,2.53,,,
5,2026-03-26T18:41:09.184671Z,1774550469.184671,8.33,move,425.74,328.9,-0.26,0.26,0.37,,,
6,2026-03-26T18:41:09.193241Z,1774550469.1932411,8.57,move,424.72,329.93,-1.02,1.02,1.45,,,
7,2026-03-26T18:41:09.201070Z,1774550469.20107,7.83,move,424.15,330.5,-0.57,0.57,0.81,,,
8,2026-03-26T18:41:09.209503Z,1774550469.209503,8.43,move,423.58,331.07,-0.57,0.57,0.81,,,
9,2026-03-26T18:41:09.217781Z,1774550469.217781,8.28,move,423.0,331.64,-0.57,0.57,0.81,,,
10,2026-03-26T18:41:09.225861Z,1774550469.225861,8.08,move,422.38,332.58,-0.63,0.94,1.13,,,
11,2026-03-26T18:41:09.233925Z,1774550469.233925,8.06,move,421.35,333.61,-1.02,1.02,1.45,,,
12,2026-03-26T18:41:09.242330Z,1774550469.24233,8.4,move,419.88,335.08,-1.48,1.48,2.09,,,
13,2026-03-26T18:41:09.250024Z,1774550469.2500238,7.69,move,418.4,336.56,-1.47,1.47,2.08,,,
14,2026-03-26T18:41:09.260069Z,1774550469.2600691,10.05,move,417.38,337.58,-1.02,1.02,1.45,,,
15,2026-03-26T18:41:09.266669Z,1774550469.266669,6.6,move,416.36,338.6,-1.02,1.02,1.45,,,
16,2026-03-26T18:41:09.274623Z,1774550469.274623,7.95,move,415.33,339.63,-1.02,1.02,1.45,,,
17,2026-03-26T18:41:09.284326Z,1774550469.2843258,9.7,move,414.71,340.57,-0.63,0.94,1.13,,,
18,2026-03-26T18:41:09.290847Z,1774550469.290847,6.52,move,414.14,341.14,-0.57,0.57,0.81,,,
19,2026-03-26T18:41:09.299771Z,1774550469.2997708,8.92,move,413.56,341.71,-0.57,0.57,0.81,,,
20,2026-03-26T18:41:09.308704Z,1774550469.308704,8.93,move,412.99,342.28,-0.57,0.57,0.81,,,
21,2026-03-26T18:41:09.317885Z,1774550469.317885,9.18,move,412.42,342.85,-0.57,0.57,0.81,,,
22,2026-03-26T18:41:09.324261Z,1774550469.3242612,6.38,move,412.16,343.11,-0.26,0.26,0.36,,,
23,2026-03-26T18:41:09.332227Z,1774550469.332227,7.97,move,411.59,343.68,-0.57,0.57,0.81,,,
24,2026-03-26T18:41:09.341356Z,1774550469.341356,9.13,move,411.31,344.25,-0.28,0.57,0.64,,,
25,2026-03-26T18:41:09.350740Z,1774550469.35074,9.38,move,410.74,344.82,-0.57,0.57,0.81,,,
26,2026-03-26T18:41:09.357974Z,1774550469.357974,7.23,move,410.16,345.39,-0.57,0.57,0.81,,,
27,2026-03-26T18:41:09.367143Z,1774550469.367143,9.17,move,409.59,345.97,-0.57,0.57,0.81,,,
28,2026-03-26T18:41:09.373498Z,1774550469.3734982,6.36,move,409.31,346.54,-0.29,0.57,0.64,,,
29,2026-03-26T18:41:09.381979Z,1774550469.381979,8.48,move,408.73,347.11,-0.57,0.57,0.81,,,
30,2026-03-26T18:41:09.390035Z,1774550469.390035,8.06,move,408.16,347.68,-0.57,0.57,0.81,,,
31,2026-03-26T18:41:09.400762Z,1774550469.400762,10.73,move,407.88,348.25,-0.29,0.57,0.64,,,
32,2026-03-26T18:41:09.407036Z,1774550469.4070358,6.27,move,407.59,348.82,-0.29,0.57,0.64,,,
33,2026-03-26T18:41:09.415140Z,1774550469.4151402,8.1,move,407.31,349.39,-0.29,0.57,0.64,,,
34,2026-03-26T18:41:09.422901Z,1774550469.422901,7.76,move,407.02,349.97,-0.29,0.57,0.64,,,
35,2026-03-26T18:41:09.431042Z,1774550469.431042,8.14,move,406.73,350.54,-0.29,0.57,0.64,,,
36,2026-03-26T18:41:09.439793Z,1774550469.4397929,8.75,move,406.45,351.11,-0.29,0.57,0.64,,,
37,2026-03-26T18:41:09.447222Z,1774550469.447222,7.43,move,406.16,351.68,-0.29,0.57,0.64,,,
38,2026-03-26T18:41:09.455451Z,1774550469.4554508,8.23,move,405.88,352.25,-0.29,0.57,0.64,,,
39,2026-03-26T18:41:09.463820Z,1774550469.46382,8.37,move,405.56,353.19,-0.31,0.94,0.99,,,
40,2026-03-26T18:41:09.472036Z,1774550469.4720361,8.22,move,405.56,353.77,0.0,0.57,0.57,,,
41,2026-03-26T18:41:09.480079Z,1774550469.4800792,8.04,move,405.28,354.34,-0.29,0.57,0.64,,,
42,2026-03-26T18:41:09.488167Z,1774550469.4881668,8.09,move,404.65,355.28,-0.63,0.94,1.13,,,
43,2026-03-26T18:41:09.496416Z,1774550469.496416,8.25,move,404.36,355.85,-0.29,0.57,0.64,,,
44,2026-03-26T18:41:09.504629Z,1774550469.504629,8.21,move,404.05,356.79,-0.31,0.94,0.99,,,
45,2026-03-26T18:41:09.512257Z,1774550469.512257,7.63,move,403.77,357.36,-0.29,0.57,0.64,,,
46,2026-03-26T18:41:09.520330Z,1774550469.52033,8.07,move,403.45,358.3,-0.31,0.94,0.99,,,
47,2026-03-26T18:41:09.528909Z,1774550469.528909,8.58,move,403.17,358.87,-0.29,0.57,0.64,,,
48,2026-03-26T18:41:09.537357Z,1774550469.537357,8.45,move,402.88,359.44,-0.28,0.57,0.64,,,
49,2026-03-26T18:41:09.545897Z,1774550469.545897,8.54,move,402.62,359.7,-0.26,0.26,0.36,,,
50,2026-03-26T18:41:09.553713Z,1774550469.5537128,7.82,move,402.62,359.96,0.0,0.26,0.26,,,
51,2026-03-26T18:41:09.561160Z,1774550469.5611598,7.45,move,402.62,360.22,0.0,0.26,0.26,,,
