frame_id,captured_at,window_start_at,window_end_at,event_count,intent,relationship_label,cursor_x,cursor_y,app,window,screenshot_path,screenshot_exists
1,2026-03-26T18:41:06.636479Z,2026-03-26T18:41:06.635990Z,2026-03-26T18:41:06.636479Z,0,idle,cursor_idle_or_hover,429.61,324.64,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184106/screenshots/frame-000001-20260326-184106-636479.png,True
2,2026-03-26T18:41:07.636659Z,2026-03-26T18:41:06.636479Z,2026-03-26T18:41:07.636659Z,0,idle,cursor_idle_or_hover,429.61,324.64,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184106/screenshots/frame-000002-20260326-184107-636659.png,True
3,2026-03-26T18:41:08.637232Z,2026-03-26T18:41:07.636659Z,2026-03-26T18:41:08.637232Z,0,idle,cursor_idle_or_hover,429.61,324.64,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184106/screenshots/frame-000003-20260326-184108-637232.png,True
4,2026-03-26T18:41:09.636667Z,2026-03-26T18:41:08.637232Z,2026-03-26T18:41:09.636667Z,51,hover_or_positioning,cursor_idle_or_hover,402.62,360.22,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184106/screenshots/frame-000004-20260326-184109-636667.png,True
5,2026-03-26T18:41:10.636218Z,2026-03-26T18:41:09.636667Z,2026-03-26T18:41:10.636218Z,0,idle,cursor_idle_or_hover,402.62,360.22,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184106/screenshots/frame-000005-20260326-184110-636218.png,True
