frame_id,captured_at,window_start_at,window_end_at,event_count,intent,relationship_label,cursor_x,cursor_y,app,window,screenshot_path,screenshot_exists
1,2026-03-26T18:42:08.583979Z,2026-03-26T18:42:08.583315Z,2026-03-26T18:42:08.583979Z,28,hover_or_positioning,cursor_idle_or_hover,395.21,647.85,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184208/screenshots/frame-000001-20260326-184208-583979.png,False
2,2026-03-26T18:42:09.584128Z,2026-03-26T18:42:08.583979Z,2026-03-26T18:42:09.584128Z,13,hover_or_positioning,cursor_idle_or_hover,393.09,650.91,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184208/screenshots/frame-000002-20260326-184209-584128.png,False
3,2026-03-26T18:42:10.584634Z,2026-03-26T18:42:09.584128Z,2026-03-26T18:42:10.584634Z,0,idle,cursor_idle_or_hover,393.09,650.91,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184208/screenshots/frame-000003-20260326-184210-584634.png,True
4,2026-03-26T18:42:11.583773Z,2026-03-26T18:42:10.584634Z,2026-03-26T18:42:11.583773Z,29,hover_or_positioning,cursor_idle_or_hover,392.86,657.8,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184208/screenshots/frame-000004-20260326-184211-583773.png,True
5,2026-03-26T18:42:12.584655Z,2026-03-26T18:42:11.583773Z,2026-03-26T18:42:12.584655Z,2,hover_or_positioning,cursor_idle_or_hover,392.86,658.27,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184208/screenshots/frame-000005-20260326-184212-584655.png,True
6,2026-03-26T18:42:13.583766Z,2026-03-26T18:42:12.584655Z,2026-03-26T18:42:13.583766Z,0,idle,cursor_idle_or_hover,392.86,658.27,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184208/screenshots/frame-000006-20260326-184213-583766.png,True
7,2026-03-26T18:42:14.584226Z,2026-03-26T18:42:13.583766Z,2026-03-26T18:42:14.584226Z,0,idle,cursor_idle_or_hover,392.86,658.27,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184208/screenshots/frame-000007-20260326-184214-584226.png,True
8,2026-03-26T18:42:15.583964Z,2026-03-26T18:42:14.584226Z,2026-03-26T18:42:15.583964Z,0,idle,cursor_idle_or_hover,392.86,658.27,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184208/screenshots/frame-000008-20260326-184215-583964.png,True
9,2026-03-26T18:42:16.584919Z,2026-03-26T18:42:15.583964Z,2026-03-26T18:42:16.584919Z,0,idle,cursor_idle_or_hover,392.86,658.27,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184208/screenshots/frame-000009-20260326-184216-584919.png,True
10,2026-03-26T18:42:17.584885Z,2026-03-26T18:42:16.584919Z,2026-03-26T18:42:17.584885Z,0,idle,cursor_idle_or_hover,392.86,658.27,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-184208/screenshots/frame-000010-20260326-184217-584885.png,True
