segment_id,family,start_at,end_at,start_ts_epoch,end_ts_epoch,duration_ms,event_count,move_distance_px,click_down_count,click_up_count,scroll_event_count,avg_x,avg_y
1,move,2026-03-26T18:42:08.576419Z,2026-03-26T18:42:09.052222Z,1774550528.576419,1774550529.052222,475.8,41,77.76,0,0,0,396.48,633.87
2,move,2026-03-26T18:42:10.962199Z,2026-03-26T18:42:11.561494Z,1774550530.962199,1774550531.561494,599.3,29,7.09,0,0,0,392.86,654.35
3,move,2026-03-26T18:42:11.995259Z,2026-03-26T18:42:12.019680Z,1774550531.9952588,1774550532.01968,24.42,2,0.47,0,0,0,392.86,658.15
