event_id,timestamp,ts_epoch,delta_ms_prev,event_type,x,y,dx,dy,distance_px,scroll_dx,scroll_dy,button
1,2026-03-26T18:52:08.698397Z,1774551128.698397,,move,407.58,551.63,-0.46,0.0,0.46,,,
2,2026-03-26T18:52:08.703792Z,1774551128.703792,5.4,move,406.11,553.11,-1.48,1.48,2.09,,,
3,2026-03-26T18:52:08.712340Z,1774551128.7123399,8.55,move,404.52,555.1,-1.59,1.98,2.54,,,
4,2026-03-26T18:52:08.720006Z,1774551128.720006,7.67,move,402.4,557.22,-2.12,2.12,3.0,,,
5,2026-03-26T18:52:08.730473Z,1774551128.730473,10.47,move,400.3,559.74,-2.1,2.52,3.28,,,
6,2026-03-26T18:52:08.736906Z,1774551128.736906,6.43,move,398.03,562.91,-2.26,3.17,3.89,,,
7,2026-03-26T18:52:08.745011Z,1774551128.7450109,8.1,move,396.22,566.08,-1.81,3.17,3.65,,,
8,2026-03-26T18:52:08.752979Z,1774551128.752979,7.97,move,393.96,569.25,-2.26,3.17,3.89,,,
9,2026-03-26T18:52:08.761142Z,1774551128.761142,8.16,move,391.56,573.09,-2.4,3.84,4.53,,,
10,2026-03-26T18:52:08.769192Z,1774551128.769192,8.05,move,389.75,576.26,-1.81,3.17,3.65,,,
11,2026-03-26T18:52:08.777754Z,1774551128.777754,8.56,move,387.93,579.88,-1.81,3.62,4.05,,,
12,2026-03-26T18:52:08.785809Z,1774551128.7858088,8.05,move,385.53,583.72,-2.4,3.84,4.53,,,
13,2026-03-26T18:52:08.794195Z,1774551128.794195,8.39,move,383.72,587.35,-1.81,3.62,4.05,,,
14,2026-03-26T18:52:08.803181Z,1774551128.8031812,8.99,move,381.2,591.88,-2.52,4.53,5.18,,,
15,2026-03-26T18:52:08.810965Z,1774551128.810965,7.78,move,378.8,595.72,-2.4,3.84,4.53,,,
16,2026-03-26T18:52:08.818736Z,1774551128.818736,7.77,move,376.26,600.3,-2.54,4.58,5.24,,,
17,2026-03-26T18:52:08.826976Z,1774551128.826976,8.24,move,373.57,605.66,-2.68,5.36,6.0,,,
18,2026-03-26T18:52:08.834888Z,1774551128.834888,7.91,move,370.89,611.03,-2.68,5.36,6.0,,,
19,2026-03-26T18:52:08.842845Z,1774551128.842845,7.96,move,367.67,616.39,-3.22,5.36,6.26,,,
20,2026-03-26T18:52:08.851513Z,1774551128.8515131,8.67,move,364.99,621.76,-2.68,5.36,6.0,,,
21,2026-03-26T18:52:08.860033Z,1774551128.860033,8.52,move,362.98,626.79,-2.01,5.03,5.42,,,
