event_id,timestamp,ts_epoch,delta_ms_prev,event_type,x,y,dx,dy,distance_px,scroll_dx,scroll_dy,button
1,2026-03-26T19:19:21.659466Z,1774552761.659466,,move,114.31,688.11,-13.38,0.23,13.38,,,
2,2026-03-26T19:19:21.663459Z,1774552761.663459,3.99,move,95.72,690.65,-18.58,2.53,18.75,,,
3,2026-03-26T19:19:21.673526Z,1774552761.673526,10.07,move,81.27,692.93,-14.45,2.28,14.63,,,
4,2026-03-26T19:19:21.680853Z,1774552761.680853,7.33,move,69.29,694.34,-11.98,1.41,12.06,,,
5,2026-03-26T19:19:21.687620Z,1774552761.6876202,6.77,move,61.59,694.93,-7.7,0.59,7.72,,,
6,2026-03-26T19:19:21.696373Z,1774552761.696373,8.75,move,55.69,694.93,-5.9,0.0,5.9,,,
7,2026-03-26T19:19:21.704788Z,1774552761.704788,8.41,move,51.4,694.93,-4.29,0.0,4.29,,,
8,2026-03-26T19:19:21.712857Z,1774552761.712857,8.07,move,49.01,694.93,-2.38,0.0,2.38,,,
9,2026-03-26T19:19:21.721472Z,1774552761.721472,8.62,move,46.63,693.74,-2.38,-1.19,2.66,,,
10,2026-03-26T19:19:21.728875Z,1774552761.728875,7.4,move,45.15,692.26,-1.48,-1.48,2.09,,,
11,2026-03-26T19:19:21.736940Z,1774552761.7369401,8.07,move,41.09,689.21,-4.07,-3.05,5.09,,,
12,2026-03-26T19:19:21.745276Z,1774552761.745276,8.34,move,39.98,687.74,-1.11,-1.48,1.85,,,
13,2026-03-26T19:19:21.753833Z,1774552761.753833,8.56,move,37.99,686.15,-1.98,-1.59,2.54,,,
14,2026-03-26T19:19:21.762101Z,1774552761.762101,8.27,move,36.52,684.67,-1.48,-1.48,2.09,,,
15,2026-03-26T19:19:21.769907Z,1774552761.769907,7.81,move,35.49,683.65,-1.02,-1.02,1.45,,,
16,2026-03-26T19:19:21.778326Z,1774552761.778326,8.42,move,34.55,683.02,-0.94,-0.63,1.13,,,
