frame_id,captured_at,window_start_at,window_end_at,event_count,intent,relationship_label,cursor_x,cursor_y,app,window,screenshot_path,screenshot_exists
1,2026-03-26T19:20:02.305032Z,2026-03-26T19:20:02.304776Z,2026-03-26T19:20:02.305032Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192002/screenshots/frame-000001-20260326-192002-305032.png,True
2,2026-03-26T19:20:03.305888Z,2026-03-26T19:20:02.305032Z,2026-03-26T19:20:03.305888Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192002/screenshots/frame-000002-20260326-192003-305888.png,True
3,2026-03-26T19:20:04.304979Z,2026-03-26T19:20:03.305888Z,2026-03-26T19:20:04.304979Z,32,scroll_navigation,cursor_context_scroll,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192002/screenshots/frame-000003-20260326-192004-304979.png,True
4,2026-03-26T19:20:05.305694Z,2026-03-26T19:20:04.304979Z,2026-03-26T19:20:05.305694Z,93,scroll_navigation,cursor_context_scroll,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192002/screenshots/frame-000004-20260326-192005-305694.png,True
5,2026-03-26T19:20:06.305000Z,2026-03-26T19:20:05.305694Z,2026-03-26T19:20:06.305000Z,75,scroll_navigation,cursor_context_scroll,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192002/screenshots/frame-000005-20260326-192006-305000.png,True
6,2026-03-26T19:20:07.305157Z,2026-03-26T19:20:06.305000Z,2026-03-26T19:20:07.305157Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192002/screenshots/frame-000006-20260326-192007-305157.png,True
7,2026-03-26T19:20:08.334285Z,2026-03-26T19:20:07.305157Z,2026-03-26T19:20:08.334285Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192002/screenshots/frame-000007-20260326-192008-334285.png,True
8,2026-03-26T19:20:09.305382Z,2026-03-26T19:20:08.334285Z,2026-03-26T19:20:09.305382Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192002/screenshots/frame-000008-20260326-192009-305382.png,True
9,2026-03-26T19:20:10.305173Z,2026-03-26T19:20:09.305382Z,2026-03-26T19:20:10.305173Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192002/screenshots/frame-000009-20260326-192010-305173.png,True
10,2026-03-26T19:20:11.305231Z,2026-03-26T19:20:10.305173Z,2026-03-26T19:20:11.305231Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192002/screenshots/frame-000010-20260326-192011-305231.png,True
