event_id,timestamp,ts_epoch,delta_ms_prev,event_type,x,y,dx,dy,distance_px,scroll_dx,scroll_dy,button
1,2026-03-26T19:10:38.540825Z,1774552238.5408251,,scroll,420.12,570.38,,,,0.0,1.0,
2,2026-03-26T19:10:38.567226Z,1774552238.5672262,26.4,scroll,420.12,570.38,,,,0.0,0.0,
3,2026-03-26T19:10:38.571538Z,1774552238.571538,4.31,scroll,420.12,570.38,,,,0.0,0.0,
4,2026-03-26T19:10:38.601585Z,1774552238.601585,30.05,scroll,420.12,570.38,,,,0.0,1.0,
5,2026-03-26T19:10:38.604618Z,1774552238.604618,3.03,scroll,420.12,570.38,,,,0.0,0.0,
6,2026-03-26T19:10:38.622799Z,1774552238.6227992,18.18,scroll,420.12,570.38,,,,0.0,0.0,
7,2026-03-26T19:10:38.639901Z,1774552238.639901,17.1,scroll,420.12,570.38,,,,0.0,0.0,
8,2026-03-26T19:10:38.656249Z,1774552238.656249,16.35,scroll,420.12,570.38,,,,0.0,0.0,
9,2026-03-26T19:10:38.670840Z,1774552238.67084,14.59,scroll,420.12,570.38,,,,0.0,1.0,
10,2026-03-26T19:10:38.702694Z,1774552238.702694,31.85,scroll,420.12,570.38,,,,0.0,1.0,
11,2026-03-26T19:10:38.711446Z,1774552238.711446,8.75,scroll,420.12,570.38,,,,0.0,1.0,
12,2026-03-26T19:10:38.724949Z,1774552238.724949,13.5,scroll,420.12,570.38,,,,0.0,1.0,
13,2026-03-26T19:10:38.739625Z,1774552238.739625,14.68,scroll,420.12,570.38,,,,0.0,0.0,
14,2026-03-26T19:10:38.756192Z,1774552238.756192,16.57,scroll,420.12,570.38,,,,0.0,0.0,
15,2026-03-26T19:10:38.770868Z,1774552238.770868,14.68,scroll,420.12,570.38,,,,0.0,0.0,
16,2026-03-26T19:10:38.788667Z,1774552238.788667,17.8,scroll,420.12,570.38,,,,0.0,0.0,
17,2026-03-26T19:10:38.988230Z,1774552238.98823,199.56,scroll,420.12,570.38,,,,0.0,0.0,
18,2026-03-26T19:10:39.004190Z,1774552239.00419,15.96,scroll,420.12,570.38,,,,0.0,0.0,
19,2026-03-26T19:10:39.020838Z,1774552239.0208378,16.65,scroll,420.12,570.38,,,,0.0,1.0,
20,2026-03-26T19:10:39.038812Z,1774552239.038812,17.97,scroll,420.12,570.38,,,,0.0,0.0,
21,2026-03-26T19:10:39.054323Z,1774552239.054323,15.51,scroll,420.12,570.38,,,,0.0,1.0,
22,2026-03-26T19:10:39.073013Z,1774552239.073013,18.69,scroll,420.12,570.38,,,,0.0,1.0,
23,2026-03-26T19:10:39.088422Z,1774552239.0884218,15.41,scroll,420.12,570.38,,,,-1.0,1.0,
24,2026-03-26T19:10:39.104767Z,1774552239.104767,16.35,scroll,420.12,570.38,,,,0.0,1.0,
25,2026-03-26T19:10:39.122487Z,1774552239.122487,17.72,scroll,420.12,570.38,,,,0.0,1.0,
26,2026-03-26T19:10:39.138974Z,1774552239.138974,16.49,scroll,420.12,570.38,,,,0.0,1.0,
27,2026-03-26T19:10:39.161039Z,1774552239.161039,22.07,scroll,420.12,570.38,,,,0.0,1.0,
28,2026-03-26T19:10:39.171713Z,1774552239.171713,10.67,scroll,420.12,570.38,,,,0.0,0.0,
29,2026-03-26T19:10:39.188858Z,1774552239.188858,17.14,scroll,420.12,570.38,,,,0.0,0.0,
30,2026-03-26T19:10:39.204677Z,1774552239.204677,15.82,scroll,420.12,570.38,,,,0.0,0.0,
31,2026-03-26T19:10:39.254448Z,1774552239.2544482,49.77,scroll,420.12,570.38,,,,0.0,0.0,
32,2026-03-26T19:10:39.279558Z,1774552239.279558,25.11,scroll,420.12,570.38,,,,0.0,0.0,
33,2026-03-26T19:10:39.454365Z,1774552239.454365,174.81,scroll,420.12,570.38,,,,0.0,0.0,
34,2026-03-26T19:10:39.741443Z,1774552239.7414432,287.08,scroll,420.12,570.38,,,,0.0,0.0,
35,2026-03-26T19:10:39.742274Z,1774552239.742274,0.83,scroll,420.12,570.38,,,,0.0,0.0,
36,2026-03-26T19:10:39.785612Z,1774552239.785612,43.34,scroll,420.12,570.38,,,,0.0,0.0,
37,2026-03-26T19:10:39.785803Z,1774552239.785803,0.19,scroll,420.12,570.38,,,,0.0,1.0,
38,2026-03-26T19:10:39.788679Z,1774552239.788679,2.88,scroll,420.12,570.38,,,,0.0,1.0,
39,2026-03-26T19:10:39.807637Z,1774552239.807637,18.96,scroll,420.12,570.38,,,,0.0,1.0,
40,2026-03-26T19:10:39.830638Z,1774552239.8306382,23.0,scroll,420.12,570.38,,,,0.0,1.0,
41,2026-03-26T19:10:39.839239Z,1774552239.839239,8.6,scroll,420.12,570.38,,,,0.0,1.0,
42,2026-03-26T19:10:39.861286Z,1774552239.861286,22.05,scroll,420.12,570.38,,,,0.0,1.0,
43,2026-03-26T19:10:39.873272Z,1774552239.8732722,11.99,scroll,420.12,570.38,,,,0.0,1.0,
44,2026-03-26T19:10:39.893088Z,1774552239.893088,19.82,scroll,420.12,570.38,,,,0.0,1.0,
45,2026-03-26T19:10:39.905779Z,1774552239.905779,12.69,scroll,420.12,570.38,,,,0.0,1.0,
46,2026-03-26T19:10:39.921911Z,1774552239.921911,16.13,scroll,420.12,570.38,,,,0.0,0.0,
