segment_id,family,start_at,end_at,start_ts_epoch,end_ts_epoch,duration_ms,event_count,move_distance_px,click_down_count,click_up_count,scroll_event_count,avg_x,avg_y
1,scroll,2026-03-26T19:10:38.540825Z,2026-03-26T19:10:39.938279Z,1774552238.5408251,1774552239.938279,1397.45,47,0.0,0,0,47,420.12,570.38
2,scroll,2026-03-26T19:10:40.355770Z,2026-03-26T19:10:44.324524Z,1774552240.35577,1774552244.324524,3968.75,156,0.0,0,0,156,420.12,570.38
3,scroll,2026-03-26T19:10:45.408877Z,2026-03-26T19:10:45.743114Z,1774552245.4088771,1774552245.743114,334.24,10,0.0,0,0,10,420.12,570.38
4,move,2026-03-26T19:10:46.050622Z,2026-03-26T19:10:46.623988Z,1774552246.050622,1774552246.623988,573.37,65,392.25,0,0,0,641.85,402.02
5,click,2026-03-26T19:10:46.678196Z,2026-03-26T19:10:46.808468Z,1774552246.678196,1774552246.8084679,130.27,2,0.0,1,1,0,693.08,350.67
6,move,2026-03-26T19:10:47.255494Z,2026-03-26T19:10:48.582782Z,1774552247.2554939,1774552248.582782,1327.29,131,411.79,0,0,0,584.76,466.45
7,scroll,2026-03-26T19:10:55.563907Z,2026-03-26T19:10:58.897897Z,1774552255.5639071,1774552258.897897,3333.99,99,0.0,0,0,99,524.44,522.18
8,move,2026-03-26T19:10:59.160863Z,2026-03-26T19:10:59.199104Z,1774552259.160863,1774552259.199104,38.24,6,24.22,0,0,0,524.7,533.84
9,scroll,2026-03-26T19:10:59.215552Z,2026-03-26T19:11:03.666765Z,1774552259.215552,1774552263.666765,4451.21,185,0.0,0,0,185,525.49,546.35
