frame_id,captured_at,window_start_at,window_end_at,event_count,intent,relationship_label,cursor_x,cursor_y,app,window,screenshot_path,screenshot_exists
1,2026-03-26T19:10:31.647589Z,2026-03-26T19:10:31.647099Z,2026-03-26T19:10:31.647589Z,0,idle,cursor_idle_or_hover,420.12,570.38,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000001-20260326-191031-647589.png,False
2,2026-03-26T19:10:32.739325Z,2026-03-26T19:10:31.647589Z,2026-03-26T19:10:32.739325Z,0,idle,cursor_idle_or_hover,420.12,570.38,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000002-20260326-191032-739325.png,False
3,2026-03-26T19:10:33.647988Z,2026-03-26T19:10:32.739325Z,2026-03-26T19:10:33.647988Z,0,idle,cursor_idle_or_hover,420.12,570.38,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000003-20260326-191033-647988.png,False
4,2026-03-26T19:10:34.647364Z,2026-03-26T19:10:33.647988Z,2026-03-26T19:10:34.647364Z,0,idle,cursor_idle_or_hover,420.12,570.38,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000004-20260326-191034-647364.png,False
5,2026-03-26T19:10:35.648110Z,2026-03-26T19:10:34.647364Z,2026-03-26T19:10:35.648110Z,0,idle,cursor_idle_or_hover,420.12,570.38,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000005-20260326-191035-648110.png,True
6,2026-03-26T19:10:36.647914Z,2026-03-26T19:10:35.648110Z,2026-03-26T19:10:36.647914Z,0,idle,cursor_idle_or_hover,420.12,570.38,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000006-20260326-191036-647914.png,True
7,2026-03-26T19:10:37.647726Z,2026-03-26T19:10:36.647914Z,2026-03-26T19:10:37.647726Z,0,idle,cursor_idle_or_hover,420.12,570.38,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000007-20260326-191037-647726.png,True
8,2026-03-26T19:10:38.648138Z,2026-03-26T19:10:37.647726Z,2026-03-26T19:10:38.648138Z,21,scroll_navigation,cursor_context_scroll,420.12,570.38,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000008-20260326-191038-648138.png,True
9,2026-03-26T19:10:39.647480Z,2026-03-26T19:10:38.648138Z,2026-03-26T19:10:39.647480Z,26,scroll_navigation,cursor_context_scroll,420.12,570.38,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000009-20260326-191039-647480.png,True
10,2026-03-26T19:10:40.647516Z,2026-03-26T19:10:39.647480Z,2026-03-26T19:10:40.647516Z,20,scroll_navigation,cursor_context_scroll,420.12,570.38,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000010-20260326-191040-647516.png,True
11,2026-03-26T19:10:41.647509Z,2026-03-26T19:10:40.647516Z,2026-03-26T19:10:41.647509Z,38,scroll_navigation,cursor_context_scroll,420.12,570.38,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000011-20260326-191041-647509.png,True
12,2026-03-26T19:10:42.748628Z,2026-03-26T19:10:41.647509Z,2026-03-26T19:10:42.748628Z,57,scroll_navigation,cursor_context_scroll,420.12,570.38,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000012-20260326-191042-748628.png,True
13,2026-03-26T19:10:43.903463Z,2026-03-26T19:10:42.748628Z,2026-03-26T19:10:43.903463Z,41,scroll_navigation,cursor_context_scroll,420.12,570.38,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000013-20260326-191043-903463.png,True
14,2026-03-26T19:10:46.832075Z,2026-03-26T19:10:43.903463Z,2026-03-26T19:10:46.832075Z,208,click_interaction,cursor_context_scroll,524.44,522.18,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191031/screenshots/frame-000014-20260326-191046-832075.png,True
