frame_id,captured_at,window_start_at,window_end_at,event_count,intent,relationship_label,cursor_x,cursor_y,app,window,screenshot_path,screenshot_exists
1,2026-03-26T19:11:37.958002Z,2026-03-26T19:11:37.957480Z,2026-03-26T19:11:37.958002Z,17,scroll_navigation,cursor_context_scroll,581.98,465.12,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191137/screenshots/frame-000001-20260326-191137-958002.png,True
2,2026-03-26T19:11:38.957952Z,2026-03-26T19:11:37.958002Z,2026-03-26T19:11:38.957952Z,24,scroll_navigation,cursor_context_scroll,581.98,465.12,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191137/screenshots/frame-000002-20260326-191138-957952.png,True
3,2026-03-26T19:11:39.958424Z,2026-03-26T19:11:38.957952Z,2026-03-26T19:11:39.958424Z,2,scroll_navigation,cursor_context_scroll,581.98,465.12,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191137/screenshots/frame-000003-20260326-191139-958424.png,True
4,2026-03-26T19:11:40.957889Z,2026-03-26T19:11:39.958424Z,2026-03-26T19:11:40.957889Z,26,scroll_navigation,cursor_context_scroll,581.98,465.12,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191137/screenshots/frame-000004-20260326-191140-957889.png,True
5,2026-03-26T19:11:42.124547Z,2026-03-26T19:11:40.957889Z,2026-03-26T19:11:42.124547Z,95,click_interaction,cursor_triggered_action,413.22,197.66,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191137/screenshots/frame-000005-20260326-191142-124547.png,True
6,2026-03-26T19:11:43.522646Z,2026-03-26T19:11:42.124547Z,2026-03-26T19:11:43.522646Z,160,click_interaction,cursor_triggered_action,447.27,295.57,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191137/screenshots/frame-000006-20260326-191143-522646.png,True
7,2026-03-26T19:11:49.454599Z,2026-03-26T19:11:43.522646Z,2026-03-26T19:11:49.454599Z,47,scroll_navigation,cursor_context_scroll,447.27,295.57,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-191137/screenshots/frame-000007-20260326-191149-454599.png,True
