event_id,timestamp,ts_epoch,delta_ms_prev,event_type,x,y,dx,dy,distance_px,scroll_dx,scroll_dy,button
1,2026-03-26T19:11:38.120771Z,1774552298.1207712,,scroll,581.98,465.12,,,,0.0,0.0,
2,2026-03-26T19:11:38.121042Z,1774552298.121042,0.27,scroll,581.98,465.12,,,,0.0,0.0,
3,2026-03-26T19:11:38.121378Z,1774552298.121378,0.34,scroll,581.98,465.12,,,,0.0,0.0,
4,2026-03-26T19:11:38.135385Z,1774552298.135385,14.01,scroll,581.98,465.12,,,,0.0,1.0,
5,2026-03-26T19:11:38.152176Z,1774552298.1521761,16.79,scroll,581.98,465.12,,,,0.0,1.0,
6,2026-03-26T19:11:38.168482Z,1774552298.168482,16.31,scroll,581.98,465.12,,,,0.0,2.0,
7,2026-03-26T19:11:38.185206Z,1774552298.185206,16.72,scroll,581.98,465.12,,,,0.0,2.0,
8,2026-03-26T19:11:38.202434Z,1774552298.202434,17.23,scroll,581.98,465.12,,,,0.0,2.0,
9,2026-03-26T19:11:38.217846Z,1774552298.217846,15.41,scroll,581.98,465.12,,,,0.0,1.0,
10,2026-03-26T19:11:38.243181Z,1774552298.243181,25.34,scroll,581.98,465.12,,,,0.0,1.0,
11,2026-03-26T19:11:38.250679Z,1774552298.250679,7.5,scroll,581.98,465.12,,,,0.0,1.0,
12,2026-03-26T19:11:38.269787Z,1774552298.2697868,19.11,scroll,581.98,465.12,,,,0.0,1.0,
13,2026-03-26T19:11:38.293011Z,1774552298.293011,23.22,scroll,581.98,465.12,,,,0.0,1.0,
14,2026-03-26T19:11:38.300979Z,1774552298.300979,7.97,scroll,581.98,465.12,,,,0.0,1.0,
15,2026-03-26T19:11:38.325628Z,1774552298.3256278,24.65,scroll,581.98,465.12,,,,0.0,0.0,
16,2026-03-26T19:11:38.341798Z,1774552298.3417978,16.17,scroll,581.98,465.12,,,,0.0,0.0,
17,2026-03-26T19:11:38.350740Z,1774552298.35074,8.94,scroll,581.98,465.12,,,,0.0,0.0,
18,2026-03-26T19:11:38.851050Z,1774552298.85105,500.31,scroll,581.98,465.12,,,,0.0,0.0,
19,2026-03-26T19:11:38.867652Z,1774552298.8676522,16.6,scroll,581.98,465.12,,,,0.0,0.0,
20,2026-03-26T19:11:38.884309Z,1774552298.884309,16.66,scroll,581.98,465.12,,,,0.0,1.0,
21,2026-03-26T19:11:38.902310Z,1774552298.90231,18.0,scroll,581.98,465.12,,,,0.0,1.0,
22,2026-03-26T19:11:38.919542Z,1774552298.919542,17.23,scroll,581.98,465.12,,,,0.0,1.0,
23,2026-03-26T19:11:38.934938Z,1774552298.9349382,15.4,scroll,581.98,465.12,,,,0.0,1.0,
24,2026-03-26T19:11:38.951391Z,1774552298.951391,16.45,scroll,581.98,465.12,,,,0.0,1.0,
25,2026-03-26T19:11:38.970739Z,1774552298.970739,19.35,scroll,581.98,465.12,,,,0.0,1.0,
26,2026-03-26T19:11:38.985681Z,1774552298.9856808,14.94,scroll,581.98,465.12,,,,0.0,1.0,
27,2026-03-26T19:11:39.001658Z,1774552299.0016582,15.98,scroll,581.98,465.12,,,,0.0,1.0,
28,2026-03-26T19:11:39.020231Z,1774552299.020231,18.57,scroll,581.98,465.12,,,,0.0,1.0,
29,2026-03-26T19:11:39.035211Z,1774552299.035211,14.98,scroll,581.98,465.12,,,,0.0,1.0,
30,2026-03-26T19:11:39.053368Z,1774552299.053368,18.16,scroll,581.98,465.12,,,,0.0,1.0,
31,2026-03-26T19:11:39.068325Z,1774552299.068325,14.96,scroll,581.98,465.12,,,,0.0,1.0,
32,2026-03-26T19:11:39.102714Z,1774552299.102714,34.39,scroll,581.98,465.12,,,,0.0,0.0,
33,2026-03-26T19:11:39.102925Z,1774552299.102925,0.21,scroll,581.98,465.12,,,,0.0,0.0,
34,2026-03-26T19:11:39.118932Z,1774552299.118932,16.01,scroll,581.98,465.12,,,,0.0,0.0,
35,2026-03-26T19:11:39.141455Z,1774552299.1414552,22.52,scroll,581.98,465.12,,,,0.0,0.0,
36,2026-03-26T19:11:39.151351Z,1774552299.151351,9.9,scroll,581.98,465.12,,,,0.0,1.0,
37,2026-03-26T19:11:39.169682Z,1774552299.169682,18.33,scroll,581.98,465.12,,,,0.0,0.0,
38,2026-03-26T19:11:39.184734Z,1774552299.1847339,15.05,scroll,581.98,465.12,,,,0.0,0.0,
39,2026-03-26T19:11:39.205183Z,1774552299.205183,20.45,scroll,581.98,465.12,,,,0.0,0.0,
40,2026-03-26T19:11:39.284531Z,1774552299.2845309,79.35,scroll,581.98,465.12,,,,0.0,0.0,
41,2026-03-26T19:11:39.304136Z,1774552299.304136,19.61,scroll,581.98,465.12,,,,0.0,0.0,
42,2026-03-26T19:11:39.471025Z,1774552299.471025,166.89,scroll,581.98,465.12,,,,0.0,0.0,
43,2026-03-26T19:11:39.987892Z,1774552299.987892,516.87,scroll,581.98,465.12,,,,0.0,0.0,
44,2026-03-26T19:11:40.852401Z,1774552300.8524008,864.51,scroll,581.98,465.12,,,,0.0,0.0,
45,2026-03-26T19:11:41.171299Z,1774552301.171299,318.9,scroll,581.98,465.12,,,,0.0,0.0,
46,2026-03-26T19:11:41.171817Z,1774552301.171817,0.52,scroll,581.98,465.12,,,,0.0,0.0,
47,2026-03-26T19:11:41.185904Z,1774552301.185904,14.09,scroll,581.98,465.12,,,,0.0,1.0,
48,2026-03-26T19:11:41.203451Z,1774552301.203451,17.55,scroll,581.98,465.12,,,,0.0,1.0,
49,2026-03-26T19:11:41.220866Z,1774552301.220866,17.42,scroll,581.98,465.12,,,,0.0,1.0,
50,2026-03-26T19:11:41.237169Z,1774552301.2371688,16.3,scroll,581.98,465.12,,,,0.0,1.0,
51,2026-03-26T19:11:41.253331Z,1774552301.253331,16.16,scroll,581.98,465.12,,,,0.0,1.0,
52,2026-03-26T19:11:41.271159Z,1774552301.271159,17.83,scroll,581.98,465.12,,,,0.0,1.0,
53,2026-03-26T19:11:41.285719Z,1774552301.2857192,14.56,scroll,581.98,465.12,,,,0.0,1.0,
54,2026-03-26T19:11:41.303306Z,1774552301.303306,17.59,scroll,581.98,465.12,,,,0.0,1.0,
55,2026-03-26T19:11:41.320132Z,1774552301.320132,16.83,scroll,581.98,465.12,,,,0.0,1.0,
56,2026-03-26T19:11:41.336326Z,1774552301.336326,16.19,scroll,581.98,465.12,,,,0.0,1.0,
57,2026-03-26T19:11:41.352948Z,1774552301.352948,16.62,scroll,581.98,465.12,,,,0.0,1.0,
58,2026-03-26T19:11:41.370672Z,1774552301.3706722,17.72,scroll,581.98,465.12,,,,0.0,1.0,
59,2026-03-26T19:11:41.386751Z,1774552301.386751,16.08,scroll,581.98,465.12,,,,0.0,1.0,
60,2026-03-26T19:11:41.404551Z,1774552301.404551,17.8,scroll,581.98,465.12,,,,0.0,1.0,
61,2026-03-26T19:11:41.426225Z,1774552301.426225,21.67,scroll,581.98,465.12,,,,0.0,1.0,
62,2026-03-26T19:11:41.437600Z,1774552301.4376,11.37,scroll,581.98,465.12,,,,0.0,0.0,
63,2026-03-26T19:11:41.454453Z,1774552301.454453,16.85,scroll,581.98,465.12,,,,0.0,0.0,
64,2026-03-26T19:11:41.469201Z,1774552301.4692008,14.75,scroll,581.98,465.12,,,,0.0,0.0,
65,2026-03-26T19:11:41.485914Z,1774552301.4859142,16.71,scroll,581.98,465.12,,,,0.0,0.0,
66,2026-03-26T19:11:41.502390Z,1774552301.50239,16.48,scroll,581.98,465.12,,,,0.0,0.0,
67,2026-03-26T19:11:41.519194Z,1774552301.5191941,16.8,scroll,581.98,465.12,,,,0.0,0.0,
68,2026-03-26T19:11:41.535993Z,1774552301.535993,16.8,scroll,581.98,465.12,,,,0.0,0.0,
69,2026-03-26T19:11:41.552477Z,1774552301.552477,16.48,scroll,581.98,465.12,,,,0.0,0.0,
70,2026-03-26T19:11:41.820677Z,1774552301.820677,268.2,scroll,581.98,465.12,,,,0.0,0.0,
71,2026-03-26T19:11:41.836134Z,1774552301.836134,15.46,scroll,581.98,465.12,,,,0.0,0.0,
72,2026-03-26T19:11:41.855037Z,1774552301.855037,18.9,scroll,581.98,465.12,,,,0.0,-1.0,
73,2026-03-26T19:11:41.872255Z,1774552301.872255,17.22,scroll,581.98,465.12,,,,0.0,-1.0,
74,2026-03-26T19:11:41.888359Z,1774552301.8883588,16.1,scroll,581.98,465.12,,,,0.0,-1.0,
75,2026-03-26T19:11:41.912319Z,1774552301.912319,23.96,scroll,581.98,465.12,,,,0.0,-1.0,
76,2026-03-26T19:11:41.925063Z,1774552301.925063,12.74,scroll,581.98,465.12,,,,0.0,-2.0,
77,2026-03-26T19:11:41.937330Z,1774552301.93733,12.27,scroll,581.98,465.12,,,,-1.0,-5.0,
78,2026-03-26T19:11:41.955420Z,1774552301.95542,18.09,scroll,581.98,465.12,,,,-1.0,-7.0,
79,2026-03-26T19:11:41.970742Z,1774552301.970742,15.32,scroll,581.98,465.12,,,,0.0,-7.0,
80,2026-03-26T19:11:41.987565Z,1774552301.987565,16.82,scroll,581.98,465.12,,,,0.0,-4.0,
81,2026-03-26T19:11:41.987886Z,1774552301.9878862,0.32,scroll,581.98,465.12,,,,0.0,0.0,
82,2026-03-26T19:11:42.030066Z,1774552302.030066,42.18,scroll,581.98,465.12,,,,0.0,-6.0,
83,2026-03-26T19:11:42.036444Z,1774552302.036444,6.38,scroll,581.98,465.12,,,,0.0,-7.0,
84,2026-03-26T19:11:42.054662Z,1774552302.054662,18.22,scroll,581.98,465.12,,,,0.0,-7.0,
85,2026-03-26T19:11:42.070662Z,1774552302.0706618,16.0,scroll,581.98,465.12,,,,0.0,-7.0,
86,2026-03-26T19:11:42.086550Z,1774552302.08655,15.89,scroll,581.98,465.12,,,,0.0,-7.0,
87,2026-03-26T19:11:42.104338Z,1774552302.104338,17.79,scroll,581.98,465.12,,,,0.0,-7.0,
88,2026-03-26T19:11:42.119323Z,1774552302.1193228,14.98,scroll,581.98,465.12,,,,0.0,-7.0,
89,2026-03-26T19:11:42.137106Z,1774552302.137106,17.78,scroll,581.98,465.12,,,,0.0,-7.0,
90,2026-03-26T19:11:42.152659Z,1774552302.152659,15.55,scroll,581.98,465.12,,,,0.0,-6.0,
91,2026-03-26T19:11:42.171873Z,1774552302.171873,19.21,scroll,581.98,465.12,,,,0.0,-6.0,
92,2026-03-26T19:11:42.191885Z,1774552302.191885,20.01,scroll,581.98,465.12,,,,0.0,-5.0,
93,2026-03-26T19:11:42.203672Z,1774552302.2036722,11.79,scroll,581.98,465.12,,,,0.0,-5.0,
94,2026-03-26T19:11:42.219387Z,1774552302.2193868,15.71,scroll,581.98,465.12,,,,0.0,-5.0,
95,2026-03-26T19:11:42.260260Z,1774552302.26026,40.87,scroll,581.98,465.12,,,,0.0,-4.0,
96,2026-03-26T19:11:42.260654Z,1774552302.260654,0.39,scroll,581.98,465.12,,,,0.0,-4.0,
97,2026-03-26T19:11:42.271650Z,1774552302.27165,11.0,scroll,581.98,465.12,,,,0.0,-3.0,
98,2026-03-26T19:11:42.288086Z,1774552302.288086,16.44,scroll,581.98,465.12,,,,0.0,-3.0,
99,2026-03-26T19:11:42.303857Z,1774552302.3038568,15.77,scroll,581.98,465.12,,,,0.0,-3.0,
100,2026-03-26T19:11:42.319406Z,1774552302.319406,15.55,scroll,581.98,465.12,,,,0.0,-3.0,
101,2026-03-26T19:11:42.336065Z,1774552302.336065,16.66,scroll,581.98,465.12,,,,0.0,-2.0,
102,2026-03-26T19:11:42.352760Z,1774552302.35276,16.7,scroll,581.98,465.12,,,,0.0,-2.0,
103,2026-03-26T19:11:42.376246Z,1774552302.376246,23.49,scroll,581.98,465.12,,,,0.0,-2.0,
104,2026-03-26T19:11:42.376354Z,1774552302.376354,0.11,scroll,581.98,465.12,,,,0.0,0.0,
