frame_id,captured_at,window_start_at,window_end_at,event_count,intent,relationship_label,cursor_x,cursor_y,app,window,screenshot_path,screenshot_exists
1,2026-03-26T19:21:05.822491Z,2026-03-26T19:21:05.822243Z,2026-03-26T19:21:05.822491Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192105/screenshots/frame-000001-20260326-192105-822491.png,True
2,2026-03-26T19:21:06.822764Z,2026-03-26T19:21:05.822491Z,2026-03-26T19:21:06.822764Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192105/screenshots/frame-000002-20260326-192106-822764.png,True
3,2026-03-26T19:21:07.822720Z,2026-03-26T19:21:06.822764Z,2026-03-26T19:21:07.822720Z,0,idle,cursor_idle_or_hover,482.52,710.93,Terminal,danielgoldberg — node ◂ node ~/Library/pnpm/global/5/.pnpm/@openai+codex@0.98.0/node_modules/@openai/codex/bin/codex.js --dangerously-bypass-approvals-and-sandbox — 80×24,/Users/<owner>/tools/cursor-watch-learn/output/run-20260326-192105/screenshots/frame-000003-20260326-192107-822720.png,True
