event_id,timestamp,ts_epoch,delta_ms_prev,event_type,x,y,dx,dy,distance_px,scroll_dx,scroll_dy,button
1,2026-03-26T18:41:16.133973Z,1774550476.133973,,move,436.89,488.01,0.0,0.0,0.0,,,
2,2026-03-26T18:41:16.138994Z,1774550476.138994,5.02,move,436.89,487.44,0.0,-0.57,0.57,,,
3,2026-03-26T18:41:16.148716Z,1774550476.148716,9.72,move,436.89,487.18,0.0,-1.66,1.66,,,
4,2026-03-26T18:41:16.155292Z,1774550476.1552918,6.58,move,436.89,486.92,0.0,-0.26,0.26,,,
5,2026-03-26T18:41:16.163157Z,1774550476.163157,7.87,move,436.89,486.67,0.0,-0.26,0.26,,,
6,2026-03-26T18:41:16.179882Z,1774550476.179882,16.73,move,436.89,486.42,0.0,-0.24,0.24,,,
7,2026-03-26T18:41:16.196369Z,1774550476.196369,16.49,move,436.89,486.18,0.0,-0.24,0.24,,,
8,2026-03-26T18:41:16.204581Z,1774550476.204581,8.21,move,436.89,485.92,0.0,-0.26,0.26,,,
9,2026-03-26T18:41:16.212630Z,1774550476.21263,8.05,move,436.89,485.66,0.0,-0.26,0.26,,,
10,2026-03-26T18:41:16.247380Z,1774550476.24738,34.75,move,436.89,485.4,0.0,-0.26,0.26,,,
11,2026-03-26T18:41:16.247561Z,1774550476.247561,0.18,move,436.89,484.83,0.0,-0.57,0.57,,,
12,2026-03-26T18:41:16.247662Z,1774550476.247662,0.1,move,437.17,484.27,0.28,-0.56,0.63,,,
13,2026-03-26T18:41:16.248130Z,1774550476.24813,0.47,move,437.46,483.7,0.29,-0.57,0.64,,,
14,2026-03-26T18:41:16.254595Z,1774550476.254595,6.46,move,437.77,482.75,0.31,-0.94,0.99,,,
15,2026-03-26T18:41:16.262301Z,1774550476.262301,7.71,move,438.09,481.81,0.31,-0.94,0.99,,,
16,2026-03-26T18:41:16.269858Z,1774550476.2698581,7.56,move,438.4,480.87,0.31,-0.94,0.99,,,
